City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
166,Sioux Lookout,50.1,-91.92,broken clouds,42.8,45,75,8.05,CA,2020-05-09 22:24:49,0,0
167,Daytona Beach,29.21,-81.02,scattered clouds,71.6,68,40,16.11,US,2020-05-09 22:24:11,0,0
168,Kieta,-6.22,155.63,light rain,84.09,77,74,6.58,PG,2020-05-09 22:26:24,0,0
169,Saldanha,-33.01,17.94,clear sky,59.0,62,0,2.24,ZA,2020-05-09 22:26:24,0,0
170,Alofi,-19.06,-169.92,broken clouds,84.2,79,58,10.29,NU,2020-05-09 22:26:24,0,0
171,Erzincan,39.75,39.5,overcast clouds,41.0,93,90,1.74,TR,2020-05-09 22:26:24,0,0
172,Kamenka,51.32,42.77,scattered clouds,50.0,92,27,1.99,RU,2020-05-09 22:26:24,0,0
173,Cananea,30.95,-110.3,overcast clouds,84.0,22,91,4.0,MX,2020-05-09 22:26:24,0,0
174,The Pas,53.83,-101.25,few clouds,42.8,33,20,8.05,CA,2020-05-09 22:26:25,0,0
175,Buraydah,26.33,43.98,broken clouds,80.6,69,75,13.87,SA,2020-05-09 22:26:25,0,0
176,Stromness,58.97,-3.3,light rain,39.2,86,96,29.97,GB,2020-05-09 22:26:25,0,0
177,Makakilo City,21.35,-158.09,broken clouds,82.4,61,75,13.87,US,2020-05-09 22:26:25,0,0
178,Tucuman,-26.82,-65.22,clear sky,68.0,68,0,3.36,AR,2020-05-09 22:26:25,0,0
179,Torata,-17.08,-70.84,broken clouds,63.88,44,74,3.6,PE,2020-05-09 22:26:25,0,0
180,Honningsvag,70.98,25.97,light snow,35.06,80,94,12.62,NO,2020-05-09 22:26:25,0,0
181,Urumita,10.56,-73.01,moderate rain,83.73,67,90,3.71,CO,2020-05-09 22:26:26,0,0
182,Popondetta,-8.75,148.25,light rain,77.85,89,89,1.23,PG,2020-05-09 22:26:26,0,0
183,Constantine,36.37,6.61,scattered clouds,62.6,82,40,4.7,DZ,2020-05-09 22:26:26,0,0
184,Kurumkan,54.3,110.3,scattered clouds,38.28,70,37,4.27,RU,2020-05-09 22:26:26,0,0
185,Killybegs,54.63,-8.45,overcast clouds,51.8,100,100,5.82,IE,2020-05-09 22:26:26,0,0
186,Arecibo,18.47,-66.72,overcast clouds,81.0,77,100,7.0,PR,2020-05-09 22:26:26,0,0
187,Cabo San Lucas,22.89,-109.91,scattered clouds,91.4,9,40,11.41,MX,2020-05-09 22:25:11,0,0
188,Nanortalik,60.14,-45.24,scattered clouds,42.08,64,47,16.37,GL,2020-05-09 22:26:27,0,0
189,Sinnamary,5.38,-52.95,light rain,78.8,86,99,12.08,GF,2020-05-09 22:26:27,0,0
190,Inhambane,-23.86,35.38,light rain,68.86,85,13,10.6,MZ,2020-05-09 22:26:27,0,0
191,Toropets,56.5,31.64,few clouds,44.13,89,13,4.21,RU,2020-05-09 22:26:27,0,0
192,Vostok,46.49,135.88,moderate rain,44.4,95,100,3.65,RU,2020-05-09 22:25:32,0,0
193,Kandi,11.13,2.94,scattered clouds,92.57,32,46,4.74,BJ,2020-05-09 22:26:27,0,0
194,Promyshlennovskiy,55.48,86.2,clear sky,53.6,62,10,2.24,RU,2020-05-09 22:26:27,0,0
195,San Francisco,37.77,-122.42,few clouds,66.99,59,20,25.28,US,2020-05-09 22:26:08,0,0
196,Naze,28.37,129.48,broken clouds,73.4,94,75,10.29,JP,2020-05-09 22:26:28,0,0
197,Mossendjo,-2.95,12.73,light rain,71.58,98,99,2.04,CG,2020-05-09 22:26:28,0,0
198,Calmar,53.27,-113.82,broken clouds,51.01,39,75,14.99,CA,2020-05-09 22:26:28,0,0
199,Adrar,20.5,-10.07,clear sky,91.67,11,0,12.59,MR,2020-05-09 22:26:28,0,0
200,Touros,-5.2,-35.46,scattered clouds,78.8,78,40,4.7,BR,2020-05-09 22:25:05,0,0
201,Constitucion,-35.33,-72.42,few clouds,56.64,92,20,2.35,CL,2020-05-09 22:26:28,0,0
202,Fernley,39.61,-119.25,broken clouds,84.99,8,80,8.99,US,2020-05-09 22:26:28,0,0
203,Kawalu,-7.38,108.21,overcast clouds,72.93,87,95,2.8,ID,2020-05-09 22:26:28,0,0
204,Coquimbo,-29.95,-71.34,broken clouds,55.4,87,75,9.17,CL,2020-05-09 22:24:52,0,0
205,Port Lincoln,-34.73,135.87,light rain,55.33,71,29,7.92,AU,2020-05-09 22:26:29,0,0
206,Margate,51.38,1.39,broken clouds,57.0,78,57,4.0,GB,2020-05-09 22:26:29,0,0
207,Lakatoro,-16.1,167.42,broken clouds,80.6,74,75,8.05,VU,2020-05-09 22:26:29,0,0
208,Tura,25.52,90.22,clear sky,74.05,43,0,3.33,IN,2020-05-09 22:26:29,0,0
209,Torbay,47.67,-52.73,overcast clouds,46.99,93,90,31.09,CA,2020-05-09 22:26:29,0,0
